Symbol,Name,LastSale,MarketCap,MktCap,Sector,Industry,SExchange,LSymbol
BSMX,Grupo Financiero Santander Mexico S.A. B. de C.V.,10.45,$14.18B,14180000000.00,Finance,Commercial Banks,NYSE,bsmx
FLT,"FleetCor Technologies, Inc.",153.75,$14.18B,14180000000.00,Miscellaneous,Business Services,NYSE,flt
AGR,"Avangrid, Inc.",45.67,$14.12B,14120000000.00,Public Utilities,Electric Utilities: Central,NYSE,agr
BCH,Banco De Chile,84.42,$14.1B,14100000000.00,Finance,Commercial Banks,NYSE,bch
CAG,"ConAgra Brands, Inc.",33.83,$14.09B,14090000000.00,Consumer Non-Durables,Packaged Foods,NYSE,cag
GIB,"CGI Group, Inc.",53.53,$14.07B,14070000000.00,Consumer Services,Professional Services,NYSE,gib
MBLY,Mobileye N.V.,63.35,$14.07B,14070000000.00,Technology,Computer Software: Prepackaged Software,NYSE,mbly
WHR,Whirlpool Corporation,190.19,$14.07B,14070000000.00,Consumer Durables,Consumer Electronics/Appliances,NYSE,whr
YUMC,"Yum China Holdings, Inc.",36.51,$14B,14000000000.00,Consumer Services,Restaurants,NYSE,yumc
AMD,"Advanced Micro Devices, Inc.",14.76,$13.95B,13950000000.00,Technology,Semiconductors,NASDAQ,amd
PBA,Pembina Pipeline Corp.,34.6,$13.88B,13880000000.00,Energy,Oil & Gas Production,NYSE,pba
HRS,Harris Corporation,115.23,$13.83B,13830000000.00,Capital Goods,Industrial Machinery/Components,NYSE,hrs
HES,Hess Corporation,43.47,$13.82B,13820000000.00,Energy,Integrated oil Companies,NYSE,hes
WAT,Waters Corporation,172.58,$13.81B,13810000000.00,Capital Goods,Biotechnology: Laboratory Analytical Instruments,NYSE,wat
FE,FirstEnergy Corporation,31.1,$13.8B,13800000000.00,Public Utilities,Electric Utilities: Central,NYSE,fe
GRFS,"Grifols, S.A.",20.14,$13.76B,13760000000.00,Health Care,Major Pharmaceuticals,NASDAQ,grfs
MPLX,MPLX LP,36.24,$13.73B,13730000000.00,Energy,Natural Gas Distribution,NYSE,mplx
SJM,J.M. Smucker Company (The),120.71,$13.69B,13690000000.00,Consumer Non-Durables,Packaged Foods,NYSE,sjm
AGU,Agrium Inc.,99,$13.68B,13680000000.00,Basic Industries,Agricultural Chemicals,NYSE,agu
AEE,Ameren Corporation,56.34,$13.67B,13670000000.00,Public Utilities,Power Generation,NYSE,aee
LLL,"L3 Technologies, Inc.",175.52,$13.67B,13670000000.00,Technology,Radio And Television Broadcasting And Communications Equipment,NYSE,lll
ANTX,"Anthem, Inc.",51.47,$13.64B,13640000000.00,Health Care,Medical Specialities,NYSE,antx
DHI,"D.R. Horton, Inc.",36.29,$13.63B,13630000000.00,Capital Goods,Homebuilding,NYSE,dhi
ETR,Entergy Corporation,75.64,$13.57B,13570000000.00,Public Utilities,Electric Utilities: Central,NYSE,etr
WYNN,"Wynn Resorts, Limited",132,$13.51B,13510000000.00,Consumer Services,Hotels/Resorts,NASDAQ,wynn
COH,"Coach, Inc.",47.89,$13.46B,13460000000.00,Consumer Non-Durables,Apparel,NYSE,coh
WFM,"Whole Foods Market, Inc.",41.81,$13.39B,13390000000.00,Consumer Services,Food Chains,NASDAQ,wfm
CHD,"Church & Dwight Company, Inc.",53.67,$13.38B,13380000000.00,Basic Industries,Package Goods/Cosmetics,NYSE,chd
HST,"Host Hotels & Resorts, Inc.",18.02,$13.33B,13330000000.00,Consumer Services,Real Estate Investment Trusts,NYSE,hst
CNA,CNA Financial Corporation,49.12,$13.31B,13310000000.00,Finance,Property-Casualty Insurers,NYSE,cna
FNV,Franco-Nevada Corporation,73.12,$13.3B,13300000000.00,Basic Industries,Precious Metals,NYSE,fnv
ADS,Alliance Data Systems Corporation,238.76,$13.29B,13290000000.00,Miscellaneous,Business Services,NYSE,ads
HAS,"Hasbro, Inc.",106.1,$13.26B,13260000000.00,Consumer Non-Durables,Recreational Products/Toys,NASDAQ,has
TXT,Textron Inc.,49.11,$13.15B,13150000000.00,Capital Goods,Aerospace,NYSE,txt
VEDL,Vedanta  Limited,17.63,$13.07B,13070000000.00,Capital Goods,Metal Fabrications,NYSE,vedl
CMS,CMS Energy Corporation,46.53,$13.05B,13050000000.00,Public Utilities,Power Generation,NYSE,cms
EDU,"New Oriental Education & Technology Group, Inc.",82.87,$13.05B,13050000000.00,Consumer Services,Other Consumer Services,NYSE,edu
CE,Celanese Corporation,94.74,$13.03B,13030000000.00,Basic Industries,Major Chemicals,NYSE,ce
DVMT,Dell Technologies Inc.,64.02,$13.01B,13010000000.00,Technology,Computer Manufacturing,NYSE,dvmt
ALB,Albemarle Corporation,117.2,$12.98B,12980000000.00,Basic Industries,Major Chemicals,NYSE,alb
DOV,Dover Corporation,83.36,$12.98B,12980000000.00,Technology,Industrial Machinery/Components,NYSE,dov
CBG,"CBRE Group, Inc.",38.34,$12.95B,12950000000.00,Finance,Real Estate,NYSE,cbg
ACGL,Arch Capital Group Ltd.,99.03,$12.94B,12940000000.00,Finance,Property-Casualty Insurers,NASDAQ,acgl
FTI,TechnipFMC plc,27.74,$12.94B,12940000000.00,Energy,Metal Fabrications,NYSE,fti
LB,"L Brands, Inc.",45.01,$12.91B,12910000000.00,Consumer Services,Clothing/Shoe/Accessory Stores,NYSE,lb
UGP,Ultrapar Participacoes S.A.,23.2,$12.91B,12910000000.00,Public Utilities,Oil/Gas Transmission,NYSE,ugp
MXIM,"Maxim Integrated Products, Inc.",45.19,$12.77B,12770000000.00,Technology,Semiconductors,NASDAQ,mxim
CMA,Comerica Incorporated,72.53,$12.76B,12760000000.00,Finance,Major Banks,NYSE,cma
ALGN,"Align Technology, Inc.",158.69,$12.75B,12750000000.00,Health Care,Industrial Specialties,NASDAQ,algn
PANW,"Palo Alto Networks, Inc.",138.73,$12.74B,12740000000.00,Technology,Computer peripheral equipment,NYSE,panw
VNTV,"Vantiv, Inc.",64.57,$12.73B,12730000000.00,Miscellaneous,Business Services,NYSE,vntv
NCLH,Norwegian Cruise Line Holdings Ltd.,55.65,$12.68B,12680000000.00,Consumer Services,Marine Transportation,NASDAQ,nclh
BSAC,Banco Santander Chile,26.89,$12.67B,12670000000.00,Finance,Commercial Banks,NYSE,bsac
NOV,"National Oilwell Varco, Inc.",33.34,$12.67B,12670000000.00,Energy,Metal Fabrications,NYSE,nov
FAST,Fastenal Company,43.89,$12.64B,12640000000.00,Consumer Services,RETAIL: Building Materials,NASDAQ,fast
HOLX,"Hologic, Inc.",45.14,$12.64B,12640000000.00,Health Care,Medical Electronics,NASDAQ,holx
DVA,DaVita Inc.,64.89,$12.63B,12630000000.00,Health Care,Hospital/Nursing Management,NYSE,dva
MELI,"MercadoLibre, Inc.",286.02,$12.63B,12630000000.00,Miscellaneous,Business Services,NASDAQ,meli
CTL,"CenturyLink, Inc.",22.86,$12.55B,12550000000.00,Public Utilities,Telecommunications Equipment,NYSE,ctl
CLR,"Continental Resources, Inc.",33.12,$12.43B,12430000000.00,Energy,Oil & Gas Production,NYSE,clr
EMN,Eastman Chemical Company,85.05,$12.4B,12400000000.00,Basic Industries,Major Chemicals,NYSE,emn
LEN,Lennar Corporation,52.75,$12.37B,12370000000.00,Basic Industries,Homebuilding,NYSE,len
NBL,Noble Energy Inc.,28.64,$12.36B,12360000000.00,Energy,Oil & Gas Production,NYSE,nbl
